Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
48.96,48.96±nan,100.0,64.0,0.001,0.0001,True
50.00,50.00±nan,,,,,
86.98,86.98±nan,,,,,
41.15,41.15±nan,,,,,
23.96,23.96±nan,,,,,
53.65,53.65±nan,,,,,
35.42,35.42±nan,,,,,
3.12,3.12±nan,,,,,
26.04,26.04±nan,,,,,
46.88,46.88±nan,,,,,
6.77,6.77±nan,,,,,
17.71,17.71±nan,,,,,
11.98,11.98±nan,,,,,
14.58,14.58±nan,,,,,
3.65,3.65±nan,,,,,
3.65,3.65±nan,,,,,
31.77,31.77±nan,,,,,
45.83,45.83±nan,,,,,
18.75,18.75±nan,,,,,
4.69,4.69±nan,,,,,
9.38,9.38±nan,,,,,
55.73,55.73±nan,,,,,
13.54,13.54±nan,,,,,
48.96,48.96±nan,,,,,
42.71,42.71±nan,,,,,
36.98,36.98±nan,,,,,
26.04,26.04±nan,,,,,
50.00,50.00±nan,,,,,
4.17,4.17±nan,,,,,
44.27,44.27±nan,,,,,
33.85,33.85±nan,,,,,
80.73,80.73±nan,,,,,
18.23,18.23±nan,,,,,
46.88,46.88±nan,,,,,
37.50,37.50±nan,,,,,
32.13,32.13±21.09,,,,,
