Fold1,Mean±Std
81.77,81.77±nan
93.75,93.75±nan
99.48,99.48±nan
89.06,89.06±nan
94.79,94.79±nan
98.96,98.96±nan
95.83,95.83±nan
85.94,85.94±nan
80.73,80.73±nan
95.83,95.83±nan
26.56,26.56±nan
90.10,90.10±nan
78.12,78.12±nan
90.62,90.62±nan
93.23,93.23±nan
88.02,88.02±nan
93.23,93.23±nan
77.60,77.60±nan
67.71,67.71±nan
92.71,92.71±nan
81.77,81.77±nan
98.96,98.96±nan
54.17,54.17±nan
99.48,99.48±nan
94.27,94.27±nan
90.10,90.10±nan
92.71,92.71±nan
97.40,97.40±nan
53.65,53.65±nan
95.83,95.83±nan
96.35,96.35±nan
100.00,100.00±nan
45.83,45.83±nan
97.40,97.40±nan
93.75,93.75±nan
85.88,85.88±16.75
